participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
005,patilla,patilla,7,0,1,8
005,hogar,hogar,5,1,0,6
005,unidireccional,unidirreccional,14,0,1,15
005,habanero,,8,1,1,10
005,aletear,,7,0,0,7
005,linear,,6,0,0,6
005,hablado,,7,1,1,9
005,yodo,,4,0,1,5
005,depositar,,9,0,1,10
005,mosquitera,,10,1,2,13
005,arpegiar,,8,0,1,9
005,ordenado,,8,0,0,8
005,posicionar,,10,0,2,12
005,inicio,,6,0,1,7
005,proclamar,,9,0,0,9
005,voraz,,5,0,2,7
005,soto,,4,0,1,5
005,posteridad,,10,0,1,11
005,oratorio,,8,0,0,8
005,suajili,,7,0,2,9
005,hilo,,4,1,0,5
005,barroquismo,,11,1,3,15
005,chistosamente,,13,0,2,15
005,fiel,,4,0,0,4
