participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
a,barroquismo,barroquismo,11,1,3,15
a,mosquitera,mosquitera ´á,10,1,2,13
a,posicionar,aaaaaa,10,0,2,12
a,proclamar,problcal,9,0,0,9
a,ordenado,fsfsdf,8,0,0,8
a,linear,,6,0,0,6
a,fiel,,4,0,0,4
a,unidireccional,,14,0,1,15
a,arpegiar,,8,0,1,9
a,hogar,,5,1,0,6
a,soto,asfsdf,4,0,1,5
a,yodo,,4,0,1,5
a,hilo,,4,1,0,5
a,voraz,,5,0,2,7
a,aletear,,7,0,0,7
a,depositar,,9,0,1,10
a,posteridad,,10,0,1,11
a,inicio,,6,0,1,7
a,chistosamente,,13,0,2,15
a,hablado,,7,1,1,9
a,patilla,,7,0,1,8
a,oratorio,,8,0,0,8
a,suajili,,7,0,2,9
a,habanero,,8,1,1,10
