participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
aa,patilla,,7,0,1,8
aa,barroquismo,,11,1,3,15
aa,linear,,6,0,0,6
aa,posteridad,,10,0,1,11
aa,hablado,,7,1,1,9
aa,posicionar,,10,0,2,12
aa,soto,,4,0,1,5
aa,oratorio,,8,0,0,8
aa,hogar,,5,1,0,6
aa,habanero,,8,1,1,10
aa,arpegiar,,8,0,1,9
aa,depositar,,9,0,1,10
aa,chistosamente,sdafsd,13,0,2,15
aa,proclamar,dfsdfas,9,0,0,9
aa,inicio,dsf,6,0,1,7
aa,aletear,,7,0,0,7
aa,fiel,,4,0,0,4
aa,mosquitera,,10,1,2,13
aa,voraz,,5,0,2,7
aa,suajili,mario,7,0,2,9
aa,ordenado,,8,0,0,8
aa,hilo,,4,1,0,5
aa,unidireccional,,14,0,1,15
aa,yodo,,4,0,1,5
