participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
asd,posicionar,,10,0,2,12
asd,hogar,,5,1,0,6
asd,hogar,,5,1,0,6
asd,hogar,,5,1,0,6
asd,hogar,,5,1,0,6
asd,hogar,,5,1,0,6
asd,voraz,,5,0,2,7
asd,mosquitera,,10,1,2,13
asd,mosquitera,,10,1,2,13
asd,habanero,,8,1,1,10
asd,habanero,,8,1,1,10
asd,unidireccional,,14,0,1,15
asd,hablado,,7,1,1,9
asd,hablado,,7,1,1,9
asd,oratorio,,8,0,0,8
asd,yodo,,4,0,1,5
asd,linear,,6,0,0,6
asd,linear,,6,0,0,6
asd,fiel,,4,0,0,4
asd,proclamar,,9,0,0,9
asd,hilo,sd,4,1,0,5
asd,hilo,sd,4,1,0,5
asd,barroquismo,,11,1,3,15
asd,ordenado,,8,0,0,8
asd,chistosamente,,13,0,2,15
asd,inicio,,6,0,1,7
asd,inicio,d,6,0,1,7
asd,arpegiar,,8,0,1,9
asd,patilla,,7,0,1,8
asd,patilla,,7,0,1,8
asd,patilla,,7,0,1,8
asd,aletear,,7,0,0,7
