participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
j,yodo,,4,0,1,5
j,voraz,,5,0,2,7
j,oratorio,,8,0,0,8
j,fiel,,4,0,0,4
j,mosquitera,,10,1,2,13
j,depositar,,9,0,1,10
j,soto,,4,0,1,5
j,posteridad,,10,0,1,11
j,hilo,asf,4,1,0,5
j,unidireccional,dfsf,14,0,1,15
j,linear,sf,6,0,0,6
j,arpegiar,,8,0,1,9
j,inicio,fsfs,6,0,1,7
j,ordenado,sfsdf,8,0,0,8
j,posicionar,,10,0,2,12
j,hogar,sdfsd,5,1,0,6
j,patilla,,7,0,1,8
j,proclamar,,9,0,0,9
j,hablado,,7,1,1,9
j,chistosamente,,13,0,2,15
