participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
jj,oratorio,kk,8,0,0,8
jj,hablado,lkj,7,1,1,9
jj,unidireccional,,14,0,1,15
jj,hogar,,5,1,0,6
jj,proclamar,,9,0,0,9
jj,inicio,,6,0,1,7
jj,aletear,,7,0,0,7
jj,linear,,6,0,0,6
jj,mosquitera,,10,1,2,13
jj,posicionar,,10,0,2,12
jj,chistosamente,,13,0,2,15
jj,yodo,;okjlkj l,4,0,1,5
jj,hilo,,4,1,0,5
jj,barroquismo,j;ljlf,11,1,3,15
jj,arpegiar,,8,0,1,9
jj,ordenado,f trfr,8,0,0,8
jj,voraz,,5,0,2,7
jj,habanero,,8,1,1,10
jj,patilla,,7,0,1,8
jj,fiel,,4,0,0,4
jj,posteridad,,10,0,1,11
jj,suajili,,7,0,2,9
jj,depositar,,9,0,1,10
jj,soto,,4,0,1,5
