participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
k,ordenado,,8,0,0,8
k,arpegiar,,8,0,1,9
k,patilla,,7,0,1,8
k,oratorio,,8,0,0,8
k,aletear,,7,0,0,7
k,posteridad,,10,0,1,11
k,chistosamente,,13,0,2,15
k,mosquitera,,10,1,2,13
k,inicio,,6,0,1,7
k,voraz,,5,0,2,7
k,hilo,,4,1,0,5
k,proclamar,,9,0,0,9
k,suajili,,7,0,2,9
k,depositar,,9,0,1,10
k,habanero,,8,1,1,10
k,yodo,,4,0,1,5
k,fiel,,4,0,0,4
k,barroquismo,,11,1,3,15
k,hablado,,7,1,1,9
k,unidireccional,,14,0,1,15
k,posicionar,,10,0,2,12
k,soto,,4,0,1,5
k,linear,,6,0,0,6
k,hogar,,5,1,0,6
