participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
kk,barroquismo,,11,1,3,15
kk,depositar,,9,0,1,10
kk,yodo,,4,0,1,5
kk,voraz,,5,0,2,7
kk,mosquitera,,10,1,2,13
kk,hilo,,4,1,0,5
kk,oratorio,,8,0,0,8
kk,hablado,,7,1,1,9
kk,soto,,4,0,1,5
kk,posicionar,,10,0,2,12
kk,proclamar,,9,0,0,9
kk,hogar,,5,1,0,6
kk,fiel,,4,0,0,4
kk,patilla,,7,0,1,8
kk,chistosamente,,13,0,2,15
kk,posteridad,,10,0,1,11
kk,linear,,6,0,0,6
kk,inicio,,6,0,1,7
kk,habanero,,8,1,1,10
kk,arpegiar,,8,0,1,9
