participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
m,ordenado,,8,0,0,8
m,unidireccional,,14,0,1,15
m,voraz,,5,0,2,7
m,suajili,,7,0,2,9
m,linear,,6,0,0,6
m,hablado,,7,1,1,9
m,habanero,,8,1,1,10
m,depositar,,9,0,1,10
m,barroquismo,,11,1,3,15
m,inicio,,6,0,1,7
m,posteridad,,10,0,1,11
m,fiel,,4,0,0,4
m,patilla,,7,0,1,8
m,chistosamente,,13,0,2,15
m,soto,,4,0,1,5
m,hilo,,4,1,0,5
m,mosquitera,,10,1,2,13
m,aletear,,7,0,0,7
m,yodo,,4,0,1,5
m,posicionar,,10,0,2,12
m,hogar,,5,1,0,6
m,proclamar,,9,0,0,9
m,arpegiar,,8,0,1,9
m,oratorio,,8,0,0,8
