participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
mario1,hablado,,7,1,1,9
mario1,linear,,6,0,0,6
mario1,proclamar,,9,0,0,9
mario1,barroquismo,,11,1,3,15
mario1,arpegiar,,8,0,1,9
mario1,patilla,,7,0,1,8
mario1,ordenado,,8,0,0,8
mario1,posteridad,,10,0,1,11
mario1,habanero,,8,1,1,10
mario1,soto,,4,0,1,5
mario1,suajili,,7,0,2,9
mario1,aletear,,7,0,0,7
mario1,voraz,,5,0,2,7
mario1,unidireccional,,14,0,1,15
mario1,yodo,,4,0,1,5
mario1,hogar,,5,1,0,6
mario1,mosquitera,,10,1,2,13
mario1,fiel,,4,0,0,4
mario1,hilo,,4,1,0,5
mario1,posicionar,,10,0,2,12
