participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
mario,patilla,patilla,7,0,1,8
mario,posicionar,,10,0,2,12
mario,inicio,,6,0,1,7
mario,proclamar,,9,0,0,9
mario,hablado,,7,1,1,9
mario,arpegiar,arpegiar,8,0,1,9
mario,mosquitera,,10,1,2,13
mario,linear,aa,6,0,0,6
mario,chistosamente,,13,0,2,15
mario,hilo,,4,1,0,5
mario,depositar,,9,0,1,10
mario,yodo,rwerwe,4,0,1,5
mario,soto,,4,0,1,5
mario,posteridad,,10,0,1,11
mario,hogar,,5,1,0,6
mario,fiel,,4,0,0,4
mario,habanero,,8,1,1,10
mario,barroquismo,,11,1,3,15
mario,oratorio,,8,0,0,8
mario,voraz,,5,0,2,7
