participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
n,aletear,jkj,7,0,0,7
n,soto,;ljk,4,0,1,5
n,hogar,;lkj,5,1,0,6
n,habanero,l;kj,8,1,1,10
n,posteridad,lkj,10,0,1,11
n,yodo,kj,4,0,1,5
n,mosquitera,l;kj,10,1,2,13
n,voraz,,5,0,2,7
n,fiel,j;lkj,4,0,0,4
n,hablado,;lkjl;kj,7,1,1,9
n,arpegiar,kjklj,8,0,1,9
n,proclamar,;lj;lk,9,0,0,9
n,patilla,,7,0,1,8
n,depositar,;lj;lkj;l,9,0,1,10
n,inicio,lkj,6,0,1,7
n,hilo,,4,1,0,5
n,posicionar,kjlkj,10,0,2,12
n,chistosamente,,13,0,2,15
n,suajili,l;kj,7,0,2,9
n,barroquismo,;lj;ljk;l,11,1,3,15
n,oratorio,;lkj;lkj,8,0,0,8
n,linear,j;l,6,0,0,6
n,unidireccional,lkj;l,14,0,1,15
n,ordenado,,8,0,0,8
