participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
nn,soto,,4,0,1,5
nn,proclamar,,9,0,0,9
nn,hogar,,5,1,0,6
nn,unidireccional,,14,0,1,15
nn,hilo,,4,1,0,5
nn,patilla,,7,0,1,8
nn,chistosamente,,13,0,2,15
nn,ordenado,,8,0,0,8
nn,linear,,6,0,0,6
nn,mosquitera,,10,1,2,13
nn,arpegiar,,8,0,1,9
nn,habanero,,8,1,1,10
nn,barroquismo,,11,1,3,15
nn,yodo,,4,0,1,5
nn,posteridad,,10,0,1,11
nn,inicio,,6,0,1,7
nn,depositar,,9,0,1,10
nn,fiel,,4,0,0,4
nn,posicionar,,10,0,2,12
nn,hablado,,7,1,1,9
nn,suajili,,7,0,2,9
nn,aletear,,7,0,0,7
nn,voraz,,5,0,2,7
nn,oratorio,,8,0,0,8
