participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
qq,hilo,q,4,1,0,5
qq,depositar,,9,0,1,10
qq,proclamar,,9,0,0,9
qq,patilla,,7,0,1,8
qq,mosquitera,,10,1,2,13
qq,chistosamente,,13,0,2,15
qq,oratorio,,8,0,0,8
qq,ordenado,,8,0,0,8
qq,soto,,4,0,1,5
qq,aletear,,7,0,0,7
qq,linear,q,6,0,0,6
qq,voraz,,5,0,2,7
qq,suajili,,7,0,2,9
qq,inicio,,6,0,1,7
qq,hogar,,5,1,0,6
qq,arpegiar,q,8,0,1,9
qq,barroquismo,,11,1,3,15
qq,fiel,,4,0,0,4
qq,posteridad,,10,0,1,11
qq,yodo,,4,0,1,5
qq,hablado,q,7,1,1,9
qq,habanero,,8,1,1,10
qq,posicionar,,10,0,2,12
qq,unidireccional,,14,0,1,15
