participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
s,depositar,,9,0,1,10
s,patilla,,7,0,1,8
s,linear,,6,0,0,6
s,fiel,,4,0,0,4
s,suajili,,7,0,2,9
s,chistosamente,,13,0,2,15
s,mosquitera,,10,1,2,13
s,barroquismo,,11,1,3,15
s,hablado,,7,1,1,9
s,aletear,,7,0,0,7
s,posicionar,,10,0,2,12
s,ordenado,,8,0,0,8
s,voraz,,5,0,2,7
s,yodo,,4,0,1,5
s,arpegiar,,8,0,1,9
s,inicio,,6,0,1,7
s,unidireccional,,14,0,1,15
s,hogar,,5,1,0,6
s,soto,,4,0,1,5
s,hilo,,4,1,0,5
s,posteridad,,10,0,1,11
s,oratorio,,8,0,0,8
s,habanero,,8,1,1,10
s,proclamar,,9,0,0,9
