participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
www,patilla,q,7,0,1,8
www,posicionar,,10,0,2,12
www,voraz,,5,0,2,7
www,proclamar,,9,0,0,9
www,chistosamente,,13,0,2,15
www,yodo,foro,4,0,1,5
www,unidireccional,,14,0,1,15
www,inicio,,6,0,1,7
www,arpegiar,,8,0,1,9
www,soto,,4,0,1,5
www,ordenado,ordendado,8,0,0,8
www,fiel,,4,0,0,4
www,habanero,,8,1,1,10
www,suajili,,7,0,2,9
www,aletear,,7,0,0,7
www,oratorio,oratorio,8,0,0,8
www,hablado,,7,1,1,9
www,linear,,6,0,0,6
www,mosquitera,,10,1,2,13
www,hilo,,4,1,0,5
www,posteridad,posteridad,10,0,1,11
www,barroquismo,,11,1,3,15
www,depositar,,9,0,1,10
www,hogar,,5,1,0,6
