participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
xc,hablado,sdf,7,1,1,9
xc,barroquismo,,11,1,3,15
xc,depositar,,9,0,1,10
xc,linear,asd,6,0,0,6
xc,hogar,fsdfsfasd,5,1,0,6
xc,habanero,,8,1,1,10
xc,soto,,4,0,1,5
xc,aletear,,7,0,0,7
xc,hilo,,4,1,0,5
xc,posicionar,,10,0,2,12
xc,inicio,fasdfsdfa,6,0,1,7
xc,chistosamente,,13,0,2,15
xc,posteridad,,10,0,1,11
xc,voraz,,5,0,2,7
xc,fiel,,4,0,0,4
xc,unidireccional,,14,0,1,15
xc,oratorio,,8,0,0,8
xc,suajili,,7,0,2,9
xc,patilla,,7,0,1,8
xc,arpegiar,,8,0,1,9
xc,mosquitera,,10,1,2,13
xc,proclamar,,9,0,0,9
xc,yodo,,4,0,1,5
xc,ordenado,,8,0,0,8
